"i","j","D_ij","civ_i","civ_j","civ_ij","comciv"
"AM","EE",-11.24013,"ortho","wstrn",NA,0
"AM","EG",0.1401178,"ortho","islam",NA,0
"AM","ES",-11.24013,"ortho","wstrn",NA,0
"AM","ET",-1.805826,"ortho",NA,NA,0
"AM","FI",1.291836,"ortho","wstrn",NA,0
"AM","FJ",-11.24013,"ortho",NA,NA,0
"AM","FR",-3.042258,"ortho","wstrn",NA,0
"AM","GA",0.6329797,"ortho","afric",NA,0
"AM","GB",-11.24013,"ortho","wstrn",NA,0
"AM","GE",1.34735,"ortho","ortho","ortho",1
"AM","GH",-3.480691,"ortho","afric",NA,0
"AM","GM",-0.4573162,"ortho","islam",NA,0
"AM","GR",-11.24013,"ortho","ortho","ortho",1
"AM","GT",-11.24013,"ortho","latam",NA,0
"AM","GU",-4.331739,"ortho",NA,NA,0
"AM","GY",2.971894,"ortho",NA,NA,0
"AM","HK",1.587949,"ortho","sinic",NA,0
"AM","HN",-11.24013,"ortho","latam",NA,0
"AM","HR",-3.901399,"ortho","wstrn",NA,0
"AM","HT",1.485049,"ortho",NA,NA,0
"AM","HU",-0.8844812,"ortho","wstrn",NA,0
"AM","ID",-2.43555,"ortho","islam",NA,0
"AM","IE",-1.496337,"ortho","wstrn",NA,0
"AM","IL",-11.24013,"ortho","wstrn",NA,0
"AM","IN",5.035724,"ortho","hindu",NA,0
"AM","IT",-3.154392,"ortho","wstrn",NA,0
"AM","JM",0.132079,"ortho","wstrn",NA,0
"AM","JO",-11.24013,"ortho","islam",NA,0
"AM","JP",-2.429491,"ortho",NA,NA,0
"AM","KE",-11.24013,"ortho","afric",NA,0
"AM","KH",-2.508949,"ortho","buddh",NA,0
"AM","KM",-3.282455,"ortho","afric",NA,0
"AM","KR",-1.794488,"ortho","sinic",NA,0
"AM","KW",-0.7313564,"ortho","islam",NA,0
"AM","KY",-3.51681,"ortho","afric",NA,0
"AM","KZ",-11.24013,"ortho","ortho","ortho",1
"AM","LA",-2.421057,"ortho","buddh",NA,0
"AM","LB",-0.7135806,"ortho","islam",NA,0
"AM","LC",-11.24013,"ortho","latam",NA,0
"AM","LK",-0.2157148,"ortho","buddh",NA,0
"AM","LR",3.49757,"ortho","afric",NA,0
"AM","LT",1.448744,"ortho","wstrn",NA,0
"AM","LU",-1.830051,"ortho","wstrn",NA,0
"AM","LV",-2.767957,"ortho","wstrn",NA,0
"AM","MA",-1.143692,"ortho","islam",NA,0
"AM","MD",-2.136082,"ortho","ortho","ortho",1
"AM","ME",0.854166,"ortho",NA,NA,0
"AM","MG",-0.9649676,"ortho","afric",NA,0
"AM","MK",1.421343,"ortho","ortho","ortho",1
"AM","ML",-11.24013,"ortho","islam",NA,0
"AM","MN",-3.14311,"ortho","buddh",NA,0
"AM","MO",-2.897769,"ortho",NA,NA,0
"AM","MP",-2.935256,"ortho",NA,NA,0
"AM","MR",-11.24013,"ortho","afric",NA,0
"AM","MT",-2.599232,"ortho","wstrn",NA,0
"AM","MU",-11.24013,"ortho","afric",NA,0
"AM","MX",-5.654582,"ortho","latam",NA,0
"AM","MY",-4.876061,"ortho","islam",NA,0
"AM","MZ",-11.24013,"ortho","afric",NA,0
"AM","NC",0.6932546,"ortho",NA,NA,0
"AM","NG",-11.24013,"ortho","afric",NA,0
"AM","NI",-11.24013,"ortho","latam",NA,0
"AM","NL",-11.24013,"ortho","wstrn",NA,0
"AM","NO",-2.057246,"ortho","wstrn",NA,0
"AM","NP",-1.687759,"ortho","hindu",NA,0
"AM","NZ",-2.278358,"ortho","wstrn",NA,0
"AM","OM",-11.24013,"ortho","islam",NA,0
"AM","PA",-1.200905,"ortho","latam",NA,0
"AM","PE",-11.24013,"ortho","latam",NA,0
"AM","PF",0.7431813,"ortho",NA,NA,0
"AM","PG",-1.019714,"ortho","wstrn",NA,0
"AM","PH",-11.24013,"ortho","wstrn",NA,0
"AM","PK",-4.02206,"ortho","islam",NA,0
"AM","PL",-11.24013,"ortho","wstrn",NA,0
"AM","PT",-1.504485,"ortho","wstrn",NA,0
"AM","PY",-0.4915929,"ortho","latam",NA,0
"AM","QA",-0.2979139,"ortho","islam",NA,0
"AM","RU",-11.24013,"ortho","ortho","ortho",1
"AM","SA",-3.414389,"ortho","islam",NA,0
"AM","SD",-2.780577,"ortho","islam",NA,0
"AM","SE",-11.24013,"ortho","wstrn",NA,0
"AM","SG",-1.327892,"ortho","buddh",NA,0
"AM","SI",-11.24013,"ortho","wstrn",NA,0
"AM","SK",1.410501,"ortho","wstrn",NA,0
"AM","SN",0.5276377,"ortho","islam",NA,0
"AM","SR",2.197805,"ortho",NA,NA,0
"AM","SV",-11.24013,"ortho","latam",NA,0
"AM","TH",-2.867845,"ortho","buddh",NA,0
"AM","TN",-3.01869,"ortho","islam",NA,0
"AM","TR",-11.24013,"ortho","islam",NA,0
"AM","TT",2.646071,"ortho","wstrn",NA,0
"AM","TZ",-2.801753,"ortho","afric",NA,0
"AM","UA",-11.24013,"ortho","ortho","ortho",1
"AM","UG",1.957675,"ortho","afric",NA,0
"AM","US",-11.24013,"ortho","wstrn",NA,0
"AM","UY",2.363941,"ortho","latam",NA,0
"AM","UZ",-1.204607,"ortho","islam",NA,0
"AM","VC",-2.531756,"ortho","latam",NA,0
"AM","VE",-2.671137,"ortho","latam",NA,0
"AM","VI",-4.001669,"ortho",NA,NA,0
"AM","VN",-3.30597,"ortho","sinic",NA,0
"AM","YE",-1.41158,"ortho","islam",NA,0
"AM","ZA",1.226532,"ortho","afric",NA,0
"AM","ZM",-5.676836,"ortho","afric",NA,0
"AM","ZW",-0.742584,"ortho","afric",NA,0
"AO","AR",-11.24013,"afric","latam",NA,0
"AO","AS",-11.24013,"afric",NA,NA,0
"AO","AT",-4.636775,"afric","wstrn",NA,0
"AO","AU",-11.24013,"afric","wstrn",NA,0
"AO","AW",-3.043323,"afric",NA,NA,0
"AO","AZ",-3.739964,"afric","islam",NA,0
"AO","BA",-11.24013,"afric","ortho",NA,0
"AO","BB",-3.332029,"afric","wstrn",NA,0
"AO","BD",-11.24013,"afric","islam",NA,0
"AO","BE",-2.709093,"afric","wstrn",NA,0
"AO","BF",-1.113589,"afric","afric","afric",1
"AO","BG",-3.203867,"afric","ortho",NA,0
"AO","BI",-2.164493,"afric","afric","afric",1
"AO","BM",-4.118449,"afric","wstrn",NA,0
"AO","BN",-2.543232,"afric","islam",NA,0
"AO","BO",0.1382449,"afric","latam",NA,0
"AO","BR",-2.925859,"afric","latam",NA,0
"AO","BS",-5.589519,"afric","latam",NA,0
"AO","BT",1.905174,"afric",NA,NA,0
"AO","BW",-2.018398,"afric","afric","afric",1
"AO","BY",-6.85121,"afric","ortho",NA,0
"AO","BZ",-3.647217,"afric",NA,NA,0
"AO","CA",-11.24013,"afric","wstrn",NA,0
"AO","CH",-11.24013,"afric","wstrn",NA,0
"AO","CI",-11.24013,"afric","afric","afric",1
"AO","CL",-2.361191,"afric","latam",NA,0
"AO","CM",-5.697593,"afric","afric","afric",1
"AO","CN",-11.24013,"afric","sinic",NA,0
"AO","CO",-11.24013,"afric","latam",NA,0
"AO","CR",-11.24013,"afric","latam",NA,0
"AO","CY",-5.311527,"afric","ortho",NA,0
"AO","CZ",-11.24013,"afric","wstrn",NA,0
"AO","DE",-0.4144559,"afric","wstrn",NA,0
"AO","DK",0.5980159,"afric","wstrn",NA,0
"AO","DO",-3.324457,"afric","latam",NA,0
"AO","DZ",-2.821358,"afric","islam",NA,0
"AO","EC",-4.108098,"afric","latam",NA,0
"AO","EE",-2.502494,"afric","wstrn",NA,0
"AO","EG",-11.24013,"afric","islam",NA,0
"AO","ES",-11.24013,"afric","wstrn",NA,0
"AO","ET",-11.24013,"afric",NA,NA,0
"AO","FI",-0.02511746,"afric","wstrn",NA,0
"AO","FJ",1.803573,"afric",NA,NA,0
"AO","FR",-11.24013,"afric","wstrn",NA,0
"AO","GA",-1.63363,"afric","afric","afric",1
